link,result,skill_bracket,lobby_type,game_mode,region,duration,match_date,hero,final_lvl,k,d,a,net,lh,dn,gpm,xpm,dmg,heal,bld,wards,final_items,team_k,team_d,team_a,team_net,team_lh,team_dn,team_gpm,team_xpm,team_dmg,team_heal,team_bld,team_wards
/matches/5404974587,lost,Normal Skill,Normal,Turbo,SE Asia,28:08,2020-05-09,Sniper,27,9,7,6,18.1k,105,32,793,1.5k,40.4k,-,461,0,"Hurricane Pike,Wraith Band,Daedalus,Power Treads,Tango,Mjollnir,Enchanted Quiver",22,39,31,70.9k,442,37,3.0k,6.5k,108.8k,3.8k,1.9k,0
/matches/5404922531,lost,Normal Skill,Normal,Turbo,SE Asia,23:00,2020-05-09,Juggernaut,22,2,5,6,8.1k,92,2,515,980,8.2k,1.2k,-,0,"Yasha,Battle Fury,Slippers of Agility,Phase Boots,Dragon Scale",14,27,22,49.6k,336,19,2.4k,5.3k,66.8k,1.2k,-,0
/matches/5404844838,won,Normal Skill,Normal,Turbo,SE Asia,27:09,2020-05-09,Sniper,29,12,3,13,30.4k,156,23,1.2k,1.4k,34.5k,-,6.1k,0,"Silver Edge,Mjollnir,Boots of Travel,Moon Shard,Monkey King Bar,Power Treads,Vambrace,Wraith Band,Tango",39,23,84,112.8k,400,30,4.3k,6.8k,100.5k,9.2k,19.9k,0
/matches/5404098646,lost,Normal Skill,Normal,Turbo,SE Asia,32:27,2020-05-08,Juggernaut,30,10,4,5,27.7k,155,4,885,1.4k,27.3k,347,-,0,"Abyssal Blade,Battle Fury,Monkey King Bar,Butterfly,Moon Shard,Boots of Travel,Greater Faerie Fire",22,31,32,112.9k,728,13,3.9k,6.3k,78.3k,1.4k,4.4k,0
/matches/5403504046,won,Normal Skill,Normal,Turbo,SE Asia,23:19,2020-05-08,Phantom Assassin,28,7,2,11,22.6k,120,10,1.0k,1.9k,20.8k,-,5.7k,0,"Abyssal Blade,Black King Bar,Desolator,Boots of Travel,Dust of Appearance,Satanic,Imp Claw,Tango,Quelling Blade",36,22,68,96.3k,320,27,4.4k,7.6k,92.3k,5.1k,20.7k,0
/matches/5403326931,lost,Normal Skill,Normal,Turbo,SE Asia,27:01,2020-05-08,Juggernaut,24,3,7,3,10.6k,94,4,492,1.1k,7.8k,1.4k,-,0,"Battle Fury,Skull Basher,Dust of Appearance,Wraith Band,Phase Boots,Pupil's Gift,Telescope",15,46,30,53.9k,352,19,2.2k,5.8k,63.4k,3.1k,-,0
/matches/5403264220,won,Normal Skill,Normal,Turbo,SE Asia,18:30,2020-05-08,Sniper,26,12,0,10,22.5k,84,19,1.2k,1.6k,32.1k,-,5.2k,0,"Wraith Band,Daedalus,Wraith Band,Power Treads,Mjollnir,Hurricane Pike,Pupil's Gift,Tango,Enchanted Mango",23,9,50,83.1k,318,26,4.6k,6.2k,63.7k,2.4k,23.2k,0
/matches/5403113690,won,Normal Skill,Normal,Turbo,SE Asia,41:24,2020-05-08,Juggernaut,30,24,7,18,49.0k,211,8,1.4k,1.7k,64.3k,4.0k,12.5k,0,"Satanic,Battle Fury,Abyssal Blade,Butterfly,Monkey King Bar,Boots of Travel,Ninja Gear,Cheese",63,34,106,180.2k,709,30,5.5k,7.1k,202.2k,4.0k,31.0k,0
/matches/5403020149,won,Normal Skill,Normal,Turbo,SE Asia,30:25,2020-05-08,Sniper,27,8,5,12,29.5k,142,19,1.0k,1.4k,28.5k,-,5.1k,-/-,"Wraith Band,Mjollnir,Hurricane Pike,Daedalus,Black King Bar,Boots of Travel,Grove Bow,Wraith Band",35,22,69,124.7k,535,31,4.4k,6.3k,117.5k,3.1k,25.8k,13/20
/matches/5401648272,lost,Normal Skill,Normal,Turbo,SE Asia,27:15,2020-05-07,Sniper,25,5,7,9,17.4k,94,13,642,1.2k,20.6k,-,362,0,"Mjollnir,Black King Bar,Wraith Band,Power Treads,Hurricane Pike,Mind Breaker",25,38,51,75.9k,331,24,3.0k,7.2k,109.7k,1.2k,694,0
/matches/5401469451,lost,Normal Skill,Normal,Turbo,SE Asia,24:33,2020-05-07,Sniper,26,3,5,5,18.7k,117,25,764,1.3k,25.8k,-,1.7k,0,"Hurricane Pike,Wraith Band,Wraith Band,Power Treads,Mjollnir,Daedalus,Dust of Appearance,Tango",20,31,29,74.9k,470,40,3.4k,6.6k,74.8k,-,5.3k,0
/matches/5401411780,won,Normal Skill,Normal,Turbo,SE Asia,23:46,2020-05-07,Sniper,28,11,4,11,24.4k,123,20,1.2k,1.3k,26.1k,-,7.8k,0,"Moon Shard,Moon Shard,Aegis of the Immortal,Power Treads,Mjollnir,Daedalus,Vampire Fangs,Tango",29,15,70,105.5k,458,29,4.7k,6.6k,99.1k,29.3k,19.5k,0
/matches/5401216851,lost,Normal Skill,Normal,Turbo,SE Asia,31:53,2020-05-07,Juggernaut,28,3,5,2,19.8k,181,3,733,1.3k,12.0k,1.9k,130,0,"Bloodthorn,Battle Fury,Monkey King Bar,Talisman of Evasion,Slippers of Agility,Phase Boots,Vampire Fangs,Eaglesong",23,26,28,103.7k,682,26,3.4k,6.5k,70.5k,1.9k,4.3k,0
/matches/5400115915,won,Normal Skill,Normal,Turbo,SE Asia,30:32,2020-05-06,Juggernaut,30,5,6,17,26.3k,116,4,883,1.6k,28.7k,7.0k,7.9k,0,"Diffusal Blade,Abyssal Blade,Enchanted Mango,Battle Fury,Butterfly,Phase Boots,Paladin Sword",44,34,103,133.3k,506,8,4.8k,7.8k,146.5k,16.4k,21.1k,0
/matches/5399767357,won,Normal Skill,Normal,Turbo,SE Asia,26:13,2020-05-06,Weaver,30,8,0,8,26.8k,149,6,1.0k,1.7k,9.9k,-,9.9k,0,"Desolator,Butterfly,Boots of Travel,Dragon Lance,Linken's Sphere,Black King Bar,Grove Bow,Greater Faerie Fire,Wraith Band",32,18,52,113.0k,643,27,4.9k,7.7k,99.5k,2.2k,17.5k,0
/matches/5399693737,lost,Normal Skill,Normal,Turbo,SE Asia,23:22,2020-05-06,Phantom Lancer,24,2,8,3,7.3k,53,3,395,1.1k,6.6k,-,-,0,"Talisman of Evasion,Quelling Blade,Power Treads,Wraith Band,Diffusal Blade,Vampire Fangs",12,46,24,42.9k,223,12,2.1k,6.7k,63.0k,-,-,0
